id,year,month,day,element,value
MX17004,2010,1,30,TMAX,27.8
MX17004,2010,1,30,TMIN,14.5
MX17004,2010,2,2,TMAX,27.3
MX17004,2010,2,2,TMIN,14.4
MX17004,2010,2,3,TMAX,24.1
MX17004,2010,2,3,TMIN,14.4
MX17004,2010,2,11,TMAX,29.7
MX17004,2010,2,11,TMIN,13.4
MX17004,2010,2,23,TMAX,29.9
MX17004,2010,2,23,TMIN,10.7
MX17004,2010,3,5,TMAX,32.1
MX17004,2010,3,5,TMIN,14.2
MX17004,2010,3,10,TMAX,34.5
MX17004,2010,3,10,TMIN,16.8
MX17004,2010,3,16,TMAX,31.1
MX17004,2010,3,16,TMIN,17.6
MX17004,2010,4,27,TMAX,36.3
MX17004,2010,4,27,TMIN,16.7
MX17004,2010,5,27,TMAX,33.2
MX17004,2010,5,27,TMIN,18.2
MX17004,2010,6,17,TMAX,28
MX17004,2010,6,17,TMIN,17.5
MX17004,2010,6,29,TMAX,30.1
MX17004,2010,6,29,TMIN,18
MX17004,2010,7,3,TMAX,28.6
MX17004,2010,7,3,TMIN,17.5
MX17004,2010,7,14,TMAX,29.9
MX17004,2010,7,14,TMIN,16.5
MX17004,2010,8,5,TMAX,29.6
MX17004,2010,8,5,TMIN,15.8
MX17004,2010,8,8,TMAX,29
MX17004,2010,8,8,TMIN,17.3
MX17004,2010,8,13,TMAX,29.8
MX17004,2010,8,13,TMIN,16.5
MX17004,2010,8,23,TMAX,26.4
MX17004,2010,8,23,TMIN,15
MX17004,2010,8,25,TMAX,29.7
MX17004,2010,8,25,TMIN,15.6
MX17004,2010,8,29,TMAX,28
MX17004,2010,8,29,TMIN,15.3
MX17004,2010,8,31,TMAX,25.4
MX17004,2010,8,31,TMIN,15.4
MX17004,2010,10,5,TMAX,27
MX17004,2010,10,5,TMIN,14
MX17004,2010,10,7,TMAX,28.1
MX17004,2010,10,7,TMIN,12.9
MX17004,2010,10,14,TMAX,29.5
MX17004,2010,10,14,TMIN,13
MX17004,2010,10,15,TMAX,28.7
MX17004,2010,10,15,TMIN,10.5
MX17004,2010,10,28,TMAX,31.2
MX17004,2010,10,28,TMIN,15
MX17004,2010,11,2,TMAX,31.3
MX17004,2010,11,2,TMIN,16.3
MX17004,2010,11,4,TMAX,27.2
MX17004,2010,11,4,TMIN,12
MX17004,2010,11,5,TMAX,26.3
MX17004,2010,11,5,TMIN,79
MX17004,2010,11,26,TMAX,28.1
MX17004,2010,11,26,TMIN,12.1
MX17004,2010,11,27,TMAX,27.7
MX17004,2010,11,27,TMIN,14.2
MX17004,2010,12,1,TMAX,29.9
MX17004,2010,12,1,TMIN,13.8
MX17004,2010,12,6,TMAX,27.8
MX17004,2010,12,6,TMIN,10.5
